"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"21","Jerry Jeudy (CLE)","67","100","972","14.5","67","14","6","4","40","0","0","15","170.7","11.4","66.4%"
"22","DJ Moore (CHI)","63","118","888","14.1","62","17","7","10","53","0","0","17","167.6","9.9","82.5%"
"23","Michael Pittman Jr. (IND)","99","141","925","9.3","28","8","4","3","30","0","1","16","167.0","10.4","64.3%"
"24","Cooper Kupp (LAR)","75","98","812","10.8","75","11","6","9","52","1","1","9","163.9","18.2","88.0%"
"25","Chris Olave (NO)","72","119","1,042","14.5","53","13","4","0","0","0","2","15","162.2","10.8","62.1%"
"26","Zay Jones (ARI)","82","121","823","10.0","59","7","5","4","18","0","0","16","157.1","9.8","3.3%"
"27","Gabe Davis (JAC)","48","93","836","17.4","98","11","7","0","0","0","1","15","147.6","9.8","11.1%"
"28","Jakobi Meyers (LV)","67","96","804","12.0","48","14","6","2","-11","0","2","14","146.8","10.5","66.4%"
"29","JuJu Smith-Schuster (KC)","78","101","933","12.0","53","9","3","0","0","0","2","16","146.3","9.1","4.2%"
"30","Tyler Boyd (TEN)","59","83","776","13.2","60","10","6","0","0","0","0","17","146.0","8.6","2.8%"
"31","Adam Thielen (CAR)","70","107","716","10.2","36","7","6","1","4","0","0","17","145.0","8.5","55.9%"
"32","Mike Williams (PIT)","63","93","895","14.2","55","11","4","0","0","0","0","13","145.0","11.2","16.5%"
"33","Allen Lazard (NYJ)","60","100","788","13.1","47","13","6","2","0","0","0","15","144.8","9.7","6.6%"
"34","Curtis Samuel (BUF)","64","92","656","10.3","49","10","4","38","187","1","1","17","144.3","8.5","15.5%"
"35","Christian Watson (GB)","41","65","611","14.9","63","8","7","7","80","2","0","14","143.6","10.3","45.4%"
"36","Drake London (ATL)","72","117","866","12.0","40","10","4","0","0","0","3","17","142.6","8.4","85.6%"
"37","George Pickens (PIT)","52","84","801","15.4","42","17","4","3","24","1","0","17","140.5","8.3","84.7%"
"38","Deebo Samuel Sr. (SF)","56","94","632","11.3","57","7","2","42","232","3","2","13","140.4","10.8","78.0%"
"39","Diontae Johnson (BAL)","86","147","882","10.3","37","7","0","7","25","0","0","17","137.7","8.1","34.6%"
"40","Donovan Peoples-Jones (FA)","61","96","839","13.8","42","14","3","1","2","0","1","17","136.6","8.0","0.0%"
"41","Joshua Palmer (LAC)","72","107","769","10.7","50","7","3","1","4","0","0","16","133.3","8.3","15.6%"
"42","Keenan Allen (CHI)","66","89","752","11.4","46","7","4","1","8","0","1","10","131.0","13.1","71.2%"
"43","Courtland Sutton (DEN)","64","109","829","13.0","51","11","2","1","5","0","0","15","127.4","8.5","81.6%"
"44","Mack Hollins (BUF)","57","94","690","12.1","60","9","4","4","40","0","0","17","125.7","7.4","2.3%"
"45","K.J. Osborn (WAS)","60","90","650","10.8","66","6","5","3","6","0","0","17","125.6","7.4","0.9%"
"46","Marquise Brown (KC)","67","107","709","10.6","47","9","3","1","1","0","0","12","122.5","10.2","36.7%"
"47","DeAndre Hopkins (KC)","64","96","717","11.2","33","8","3","0","0","0","1","9","119.7","13.3","70.1%"
"48","Parris Campbell (PHI)","63","91","623","9.9","49","7","3","5","58","0","0","17","117.6","6.9","0.0%"
"49","Brandin Cooks (DAL)","57","93","699","12.3","44","13","3","2","7","0","0","13","117.1","9.0","14.6%"
"50","Jahan Dotson (PHI)","35","61","523","14.9","61","10","7","2","-7","0","0","12","113.1","9.4","6.2%"
"51","Darius Slayton (NYG)","46","71","724","15.7","55","12","2","0","0","0","1","13","105.4","8.1","7.0%"
"52","Richie James Jr. (FA)","57","70","569","10.0","33","3","4","2","6","0","3","16","104.0","6.5","0.0%"
"53","Marquez Valdes-Scantling (NO)","42","81","687","16.4","57","13","2","1","-3","0","0","17","101.4","6.0","16.5%"
"54","Isaiah McKenzie (FA)","42","66","423","10.1","30","4","4","9","55","1","0","16","98.8","6.2","0.0%"
"55","Russell Gage (SF)","51","70","426","8.4","23","3","5","0","0","0","1","13","98.1","7.5","0.0%"
"56","Devin Duvernay (JAC)","37","49","407","11.0","31","6","3","12","84","1","0","14","97.6","7.0","0.2%"
"57","Marvin Jones Jr. (FA)","46","81","529","11.5","37","6","3","0","0","0","0","16","93.9","5.9","0.0%"
"58","Noah Brown (WAS)","43","74","555","12.9","51","6","3","0","0","0","1","16","93.0","5.8","3.6%"
"59","Kalif Raymond (DET)","47","64","616","13.1","56","10","0","7","36","0","1","17","92.7","5.5","2.5%"
"60","Alec Pierce (IND)","41","78","593","14.5","47","8","2","0","0","0","0","16","91.8","5.7","12.3%"
"61","Chris Moore (WAS)","48","74","548","11.4","52","9","2","3","3","0","0","15","91.1","6.1","0.0%"
"62","Olamide Zaccheaus (WAS)","40","61","533","13.3","45","9","3","2","7","0","1","17","90.0","5.3","6.5%"
"63","DeAndre Carter (CHI)","46","65","538","11.7","35","10","3","2","-15","0","2","17","89.3","5.3","0.1%"
"64","Robert Woods (HOU)","53","91","527","9.9","41","3","2","0","0","0","1","17","89.2","5.2","0.7%"
"65","DeVante Parker (FA)","31","47","539","17.4","43","10","3","0","0","0","0","13","87.4","6.7","0.0%"
"66","Greg Dortch (ARI)","52","64","467","9.0","47","5","2","7","44","0","1","16","87.1","5.4","2.7%"
"67","Rashid Shaheed (NO)","28","34","488","17.4","68","6","2","4","57","1","0","12","86.5","7.2","26.0%"
"68","Michael Gallup (FA)","39","74","424","10.9","27","4","4","0","0","0","0","14","85.9","6.1","0.0%"
"69","Josh Reynolds (JAC)","38","59","479","12.6","31","8","3","0","0","0","0","12","84.9","7.1","1.0%"
"70","DJ Chark Jr. (LAC)","30","52","502","16.7","51","9","3","0","0","0","0","11","83.2","7.6","3.4%"
"71","Chase Claypool (FA)","46","79","451","9.8","31","7","1","9","59","0","1","15","82.0","5.5","1.2%"
"72","Isaiah Hodgins (SF)","37","48","392","10.6","29","4","4","0","0","0","1","9","81.7","9.1","0.0%"
"73","Corey Davis (FA)","32","64","536","16.8","66","7","2","0","0","0","0","13","81.6","6.3","0.0%"
"74","Darnell Mooney (ATL)","40","61","493","12.3","56","7","2","1","2","0","0","11","81.5","7.4","61.3%"
"75","Mecole Hardman Jr. (KC)","25","34","297","11.9","36","5","4","4","31","2","0","8","81.3","10.2","0.2%"
"76","Romeo Doubs (GB)","42","67","425","10.1","26","7","3","1","11","0","1","13","80.6","6.2","41.7%"
"77","Demarcus Robinson (LAR)","48","75","458","9.5","31","4","2","0","0","0","1","16","79.8","5.0","13.5%"
"78","Nico Collins (HOU)","37","66","481","13.0","58","8","2","0","0","0","0","10","78.6","7.9","93.4%"
"79","Marquise Goodwin (FA)","27","42","387","14.3","38","9","4","2","5","0","0","13","76.7","5.9","0.0%"
"80","Treylon Burks (TEN)","33","54","444","13.5","51","8","1","4","47","0","0","11","71.6","6.5","1.1%"
"81","Kendrick Bourne (NE)","35","48","434","12.4","41","6","1","6","39","0","0","16","70.8","4.4","2.1%"
"82","Nick Westbrook-Ikhine (TEN)","25","50","397","15.9","63","5","3","0","0","0","0","16","70.2","4.4","20.9%"
"83","Elijah Moore (CLE)","37","65","446","12.1","42","8","1","5","5","0","0","16","69.6","4.4","15.0%"
"84","Terrace Marshall Jr. (LV)","28","47","490","17.5","43","10","1","0","0","0","0","13","69.0","5.3","0.0%"
"85","Trent Sherfield Sr. (MIN)","30","51","417","13.9","75","5","2","0","0","0","0","16","68.7","4.3","0.1%"
"86","Allen Robinson II (DET)","33","52","339","10.3","29","3","3","0","0","0","0","10","68.4","6.8","0.1%"
"87","Quez Watkins (ARI)","33","51","354","10.7","53","5","3","3","1","0","1","17","68.0","4.0","0.0%"
"88","Rondale Moore (ATL)","41","56","414","10.1","38","6","1","6","-5","0","0","8","67.4","8.4","2.5%"
"89","Van Jefferson (PIT)","24","44","369","15.4","39","7","3","0","0","0","0","10","66.9","6.7","1.1%"
"90","Jauan Jennings (SF)","35","56","416","11.9","44","3","1","0","0","0","0","16","65.1","4.1","63.0%"
"91","Ben Skowronek (PIT)","39","61","376","9.6","32","5","0","1","17","1","0","14","64.8","4.6","0.0%"
"92","Randall Cobb (FA)","34","50","417","12.3","40","7","1","0","0","0","0","13","64.7","5.0","1.2%"
"93","Hunter Renfrow (FA)","36","50","330","9.2","27","3","2","0","0","0","1","10","61.0","6.1","0.0%"
"94","Jamal Agnew (FA)","23","30","187","8.1","24","1","3","12","86","0","0","15","60.8","4.1","0.0%"
"95","Nelson Agholor (BAL)","31","53","362","11.7","44","6","2","0","0","0","2","15","59.7","4.0","1.6%"
"96","Laviska Shenault Jr. (FA)","27","32","272","10.1","67","3","1","9","65","1","0","13","59.2","4.6","0.1%"
"97","Julio Jones (FA)","24","43","299","12.5","48","3","2","5","45","0","0","10","58.4","5.8","1.0%"
"98","Trenton Irwin (FA)","15","23","231","15.4","45","3","4","1","11","0","0","9","55.7","6.2","0.1%"
"99","Dante Pettis (NO)","19","41","245","12.9","51","2","3","2","37","0","0","17","55.7","3.3","0.1%"
"100","Tyquan Thornton (KC)","22","45","247","11.2","29","4","2","3","16","1","0","12","55.3","4.6","0.1%"
"101","Tutu Atwell (LAR)","18","35","298","16.6","62","5","1","9","34","1","0","12","54.2","4.5","3.8%"
"102","Equanimeous St. Brown (FA)","21","38","323","15.4","56","5","1","6","54","0","0","16","54.2","3.4","0.0%"
"103","Ray-Ray McCloud III (ATL)","14","25","243","17.4","42","5","1","4","78","1","0","17","51.1","3.0","14.2%"
"104","Justin Watson (KC)","15","34","315","21.0","67","6","2","0","0","0","0","17","51.0","3.0","2.0%"
"105","Shi Smith (FA)","22","41","296","13.5","38","6","2","0","0","0","1","17","50.6","3.0","0.0%"
"106","A.J. Green (FA)","24","47","236","9.8","77","1","2","0","0","0","0","13","49.6","3.8","1.0%"
"107","Kadarius Toney (FA)","16","20","171","10.7","38","4","2","7","82","1","1","9","49.3","5.5","0.7%"
"108","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","48.7","2.9","0.9%"
"109","Jarvis Landry (FA)","25","39","272","10.9","40","2","1","0","0","0","0","9","47.7","5.3","7.1%"
"110","Rashod Bateman (BAL)","15","28","285","19.0","75","5","2","0","0","0","1","6","46.0","7.7","30.2%"
"111","Damiere Byrd (FA)","13","23","268","20.6","75","3","2","0","0","0","0","12","45.3","3.8","0.0%"
"112","Kendall Hinton (FA)","24","33","311","13.0","35","5","0","2","13","0","0","11","44.4","4.0","0.0%"
"113","Tre'Quan Smith (FA)","19","27","278","14.6","48","4","1","0","0","0","0","10","43.3","4.3","0.0%"
"114","Michael Thomas (FA)","16","22","171","10.7","21","2","3","0","0","0","0","3","43.1","14.4","0.7%"
"115","Robbie Chosen (FA)","20","44","282","14.1","75","3","1","0","0","0","1","12","42.2","3.5","0.0%"
"116","Phillip Dorsett II (ATL)","20","40","257","12.9","34","5","1","0","0","0","0","15","41.7","2.8","0.0%"
"117","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","40.1","6.7","30.1%"
"118","Sammy Watkins (FA)","16","27","325","20.3","55","7","0","0","0","0","1","9","38.5","4.3","0.0%"
"119","Brandon Powell (MIN)","24","32","156","6.5","16","0","0","17","80","0","0","17","35.6","2.1","0.1%"
"120","Ashton Dulin (IND)","15","22","207","13.8","39","2","1","2","8","0","0","10","35.0","3.5","0.0%"
"121","KhaDarel Hodge (ATL)","13","20","202","15.5","39","2","1","0","0","0","0","13","34.7","2.7","0.1%"
"122","David Bell (CLE)","24","35","214","8.9","20","1","0","0","0","0","0","15","33.4","2.2","0.0%"
"123","Skyy Moore (KC)","22","33","250","11.4","30","2","0","3","24","0","3","16","32.4","2.0","0.1%"
"124","Amari Rodgers (FA)","16","25","204","12.8","37","3","1","2","7","0","2","15","31.1","2.1","0.0%"
"125","Scotty Miller (FA)","23","40","185","8.0","23","2","0","1","8","0","0","12","30.8","2.6","0.1%"
"126","Velus Jones Jr. (CAR)","7","14","107","15.3","44","2","1","9","103","1","3","11","30.5","2.8","0.1%"
"127","Byron Pringle (FA)","10","16","135","13.5","35","3","2","0","0","0","0","10","30.5","3.1","0.0%"
"128","Dyami Brown (WAS)","5","14","143","28.6","75","2","2","1","15","0","0","9","30.3","3.4","5.9%"
"129","Marquez Callaway (TB)","16","32","158","9.9","33","2","1","0","0","0","0","10","29.8","3.0","0.0%"
"130","Khalil Shakir (BUF)","10","20","161","16.1","31","4","1","0","0","0","0","10","29.1","2.9","71.4%"
"131","Zach Pascal (ARI)","15","19","150","10.0","34","2","1","1","0","0","0","15","28.5","1.9","0.0%"
"132","Jalen Nailor (MIN)","9","13","179","19.9","47","3","1","0","0","0","0","8","28.4","3.6","3.6%"
"133","Sterling Shepard (TB)","13","24","154","11.8","65","1","1","0","0","0","0","3","27.9","9.3","4.9%"
"134","River Cracraft (MIA)","9","14","102","11.3","22","1","2","0","0","0","0","8","26.7","3.3","0.1%"
"135","Keelan Cole Sr. (FA)","10","21","141","14.1","30","3","1","0","0","0","0","12","25.1","2.1","0.0%"
"136","Steven Sims Jr. (BAL)","14","23","104","7.4","28","1","0","13","70","0","0","12","24.4","2.0","0.0%"
"137","Lawrence Cager (WAS)","13","19","118","9.1","20","1","1","0","0","0","0","6","24.3","4.1","0.0%"
"138","Denzel Mims (FA)","11","25","186","16.9","63","2","0","0","0","0","0","9","24.1","2.7","0.0%"
"139","Jalen Reagor (LAC)","8","13","104","13.0","38","2","1","4","25","0","0","17","22.9","1.3","0.0%"
"140","KJ Hamler (BUF)","7","14","165","23.6","55","3","0","2","23","0","0","7","22.3","3.2","0.0%"
"141","N'Keal Harry (FA)","7","9","116","16.6","49","1","1","0","0","0","0","6","21.1","3.5","0.0%"
"142","Cedrick Wilson Jr. (NO)","12","18","136","11.3","21","2","0","1","8","0","0","13","20.4","1.6","0.7%"
"143","DeSean Jackson (FA)","9","17","153","17.0","62","2","0","0","0","0","0","7","19.8","2.8","0.6%"
"144","Breshad Perriman (FA)","9","19","110","12.2","28","2","1","2","-7","0","1","8","18.8","2.4","0.0%"
"145","Tom Kennedy (DET)","8","15","141","17.6","44","2","0","0","0","0","0","7","18.1","2.6","0.0%"
"146","Jeff Smith (FA)","8","11","134","16.8","50","2","0","0","0","0","0","7","17.4","2.5","0.0%"
"147","Kenny Golladay (FA)","6","17","81","13.5","25","1","1","0","0","0","0","6","17.1","2.9","4.0%"
"148","Anthony Schwartz (MIA)","4","10","51","12.8","19","0","0","4","57","1","1","7","16.8","2.4","0.0%"
"149","Samori Toure (CHI)","5","10","82","16.4","37","2","1","0","0","0","0","4","16.7","4.2","0.0%"
"150","David Sills (ATL)","11","17","106","9.6","24","1","0","0","0","0","0","7","16.1","2.3","0.0%"
"151","T.Y. Hilton (FA)","7","10","121","17.3","52","2","0","0","0","0","0","3","15.6","5.2","1.6%"
"152","Jameson Williams (DET)","1","9","41","41.0","41","1","1","1","40","0","0","6","14.6","2.4","76.3%"
"153","Marcus Johnson (FA)","9","22","99","11.0","18","0","0","0","0","0","0","8","14.4","1.8","0.0%"
"154","Michael Bandy (DEN)","10","21","89","8.9","25","2","0","0","0","0","0","8","13.9","1.7","0.0%"
"155","Cam Sims (FA)","8","18","89","11.1","21","1","0","0","0","0","0","13","12.9","1.0","0.0%"
"156","Dax Milne (CAR)","6","7","37","6.2","12","0","1","0","0","0","0","15","12.7","0.8","0.0%"
"157","Jalen Virgil (BUF)","2","5","75","37.5","66","1","1","0","0","0","1","7","12.5","1.8","0.0%"
"158","Brandon Johnson (PIT)","6","14","42","7.0","12","0","1","0","0","0","1","5","11.2","2.2","1.2%"
"159","John Brown (FA)","1","2","42","42.0","42","1","1","0","0","0","0","2","10.7","5.4","0.0%"
"160","Dee Eskridge (MIA)","7","13","58","8.3","16","0","0","2","10","0","0","9","10.3","1.1","0.0%"
"161","Gunner Olszewski (NYG)","5","7","53","10.6","31","1","0","8","39","0","1","15","9.7","0.6","0.0%"
"162","Freddie Swain (FA)","4","6","74","18.5","52","1","0","0","0","0","0","3","9.4","3.1","0.0%"
"163","James Proche II (CLE)","8","17","62","7.8","12","0","0","0","0","0","0","12","9.2","0.8","0.0%"
"164","Jamison Crowder (WAS)","6","13","60","10.0","16","0","0","0","0","0","0","4","9.0","2.3","0.1%"
"165","Trent Taylor (SF)","6","10","62","10.3","34","1","0","4","15","0","1","16","8.7","0.5","0.0%"
"166","Kevin White (FA)","2","5","74","37.0","64","1","0","0","0","0","0","6","8.4","1.4","0.0%"
"167","Jake Kumerow (FA)","4","7","64","16.0","39","1","0","0","0","0","0","5","8.4","1.7","0.0%"
"168","Deven Thompkins (CAR)","5","10","32","6.4","13","0","0","2","26","0","0","5","8.3","1.7","0.0%"
"169","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","8.0","1.6","0.0%"
"170","Kyle Philips (LV)","8","13","78","9.8","21","2","0","0","0","0","2","4","7.8","2.0","0.0%"
"171","Jalen Guyton (FA)","2","4","64","32.0","54","1","0","0","0","0","0","2","7.4","3.7","0.0%"
"172","Michael Strachan (WAS)","3","9","59","19.7","23","2","0","0","0","0","0","6","7.4","1.2","0.0%"
"173","Laquon Treadwell (IND)","6","10","42","7.0","17","0","0","0","0","0","0","3","7.2","2.4","0.0%"
"174","Cody Hollister (FA)","3","5","54","18.0","27","2","0","0","0","0","0","6","6.9","1.2","0.0%"
"175","Mike Thomas (FA)","2","10","38","19.0","33","1","0","0","0","0","0","5","6.8","1.4","0.0%"
"176","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","6.6","1.7","0.1%"
"177","Cole Beasley (FA)","6","8","35","5.8","9","0","0","0","0","0","0","5","6.5","1.3","0.0%"
"178","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","6.5","0.8","0.1%"
"179","Racey McMath (FA)","2","8","40","20.0","39","1","0","1","4","0","0","4","5.4","1.4","0.0%"
"180","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","5.3","0.9","0.6%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","4.5","0.6","0.0%"
"182","Simi Fehoko (LAC)","3","4","24","8.0","12","0","0","0","0","0","0","3","3.9","1.3","1.0%"
"183","Jaelon Darden (SEA)","2","2","26","13.0","25","1","0","1","2","0","0","14","3.8","0.3","0.0%"
"184","Tyrie Cleveland (FA)","2","7","28","14.0","16","0","0","0","0","0","0","5","3.8","0.8","0.0%"
"185","Penny Hart (FA)","3","4","20","6.7","15","0","0","0","0","0","0","3","3.5","1.2","0.0%"
"186","Daylen Baldwin (FA)","2","2","25","12.5","15","0","0","0","0","0","0","1","3.5","3.5","1.2%"
"187","Dezmon Patmon (FA)","2","6","24","12.0","17","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"188","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","3.4","0.5","0.0%"
"189","Andy Isabella (FA)","2","5","21","10.5","11","0","0","1","1","0","0","4","3.2","0.8","0.0%"
"190","Montrell Washington (NYG)","4","9","2","0.5","4","0","0","5","30","0","1","15","3.2","0.2","0.0%"
"191","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","3.1","0.6","0.0%"
"192","Cade Johnson (FA)","2","4","21","10.5","11","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"193","Bryan Edwards (FA)","3","5","15","5.0","10","0","0","0","0","0","0","4","3.0","0.8","0.0%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","3.0","0.8","0.8%"
"195","Keith Kirkwood (BAL)","2","4","18","9.0","14","0","0","0","0","0","0","3","2.8","0.9","0.0%"
"196","Dennis Houston (TB)","2","6","16","8.0","11","0","0","0","0","0","0","2","2.6","1.3","1.2%"
"197","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.6%"
"198","Quintez Cephus (LAR)","2","3","15","7.5","9","0","0","0","0","0","0","3","2.5","0.8","0.0%"
"199","Danny Gray (PHI)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.4","0.3","0.0%"
"200","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"201","Austin Trammell (JAC)","2","4","13","6.5","8","0","0","0","0","0","0","2","2.3","1.2","0.0%"
"202","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.2","0.7","0.0%"
"203","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","2.2","0.7","8.4%"
"204","Miles Boykin (FA)","2","3","11","5.5","11","0","0","0","0","0","0","10","2.1","0.2","0.0%"
"205","Frank Darby (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"206","Tyron Billy-Johnson (FA)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"207","Jalen Camp (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"208","Maurice Alexander (CHI)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.2","0.4","1.2%"
"209","C.J. Board (FA)","1","1","6","6.0","6","0","0","0","0","0","0","4","1.1","0.3","0.0%"
"210","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"211","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"212","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"213","Braylon Sanders (FA)","2","3","17","8.5","13","0","0","0","0","0","1","2","0.7","0.4","0.0%"
"214","Cody White (SEA)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"215","Keke Coutee (FA)","1","1","20","20.0","20","1","0","0","0","0","1","7","0.5","0.1","0.0%"
"216","Deonte Harty (BAL)","2","2","13","6.5","9","0","0","0","0","0","1","4","0.3","0.1","0.1%"
"217","Trinity Benson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"220","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"222","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Tay Martin (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"226","Stanley Berryhill III (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Jacob Harris (FA)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"228","Josh Ali (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"229","Raleigh Webb (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.2%"
"230","Lance McCutcheon (PIT)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"231","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"232","Albert Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"234","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"235","Brandon Zylstra (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"236","James Washington (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Tanner Gentry (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Marcus Kemp (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"239","Justin Hardee Sr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"240","Malik Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"241","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"242","Stanley Morgan Jr. (TEN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"243","Cody Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Ty Montgomery II (FA)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","0.0%"
"245","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"246","Rashard Higgins (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
