player_id,player,1_position,1_franchise_id,2_position,2_franchise_id,3_position,3_franchise_id,4_position,4_franchise_id,5_position,5_franchise_id,6_position,6_franchise_id,7_position,7_franchise_id,career_Season_range,final_team_name,career_sum_player_game_count,career_avg_player_game_count,career_avg_avg_depth_of_target,career_max_avg_depth_of_target,career_avg_avoided_tackles,career_max_avoided_tackles,career_avg_caught_percent,career_max_caught_percent,career_avg_contested_catch_rate,career_max_contested_catch_rate,career_sum_contested_receptions,career_avg_contested_receptions,career_sum_contested_targets,career_avg_contested_targets,career_avg_drop_rate,career_max_drop_rate,career_sum_drops,career_avg_drops,career_sum_first_downs,career_max_first_downs,career_sum_fumbles,career_avg_grades_hands_drop,career_max_grades_hands_drop,career_avg_grades_hands_fumble,career_max_grades_hands_fumble,career_avg_grades_offense,career_max_grades_offense,career_avg_grades_pass_block,career_max_grades_pass_block,career_avg_grades_pass_route,career_max_grades_pass_route,career_avg_inline_rate,career_max_inline_rate,career_sum_inline_snaps,career_max_inline_snaps,career_max_longest,career_avg_pass_block_rate,career_max_pass_block_rate,career_sum_pass_blocks,career_sum_pass_plays,career_sum_receptions,career_avg_receptions,career_avg_route_rate,career_max_route_rate,career_sum_routes,career_avg_routes,career_avg_slot_rate,career_max_slot_rate,career_sum_slot_snaps,career_avg_targeted_qb_rating,career_max_targeted_qb_rating,career_sum_targets,career_avg_targets,career_sum_touchdowns,career_avg_touchdowns,career_avg_wide_rate,career_max_wide_rate,career_sum_wide_snaps,career_avg_wide_snaps,career_sum_yards,career_avg_yards,career_sum_yards_after_catch,career_avg_yards_after_catch,career_avg_yards_after_catch_per_reception,career_max_yards_after_catch_per_reception,career_avg_yards_per_reception,career_max_yards_per_reception,career_avg_yprr,career_max_yprr
198299,Quanell Farrakhan Jr.,WR,143,,,,,,,,,,,,,2025,COLORADO,9.0,9.0,12.0,12.0,3.0,3.0,20.0,20.0,,,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,24.9,24.9,78.1,78.1,50.7,50.7,,,50.1,50.1,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,72.0,1.0,1.0,95.8,95.8,69.0,69.0,9.7,9.7,7.0,41.3,41.3,5.0,5.0,0.0,0.0,90.3,90.3,65.0,65.0,17.0,17.0,9.0,9.0,9.0,9.0,17.0,17.0,0.25,0.25
198369,Ben Prosper,WR,160,,,,,,,,,,,,,2025,E MICHIGAN,12.0,12.0,6.5,6.5,4.0,4.0,84.0,84.0,100.0,100.0,4.0,4.0,4.0,4.0,12.5,12.5,3.0,3.0,10.0,10.0,0.0,54.9,54.9,74.2,74.2,57.6,57.6,,,59.7,59.7,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,177.0,21.0,21.0,94.9,94.9,168.0,168.0,98.3,98.3,174.0,96.2,96.2,25.0,25.0,0.0,0.0,1.7,1.7,3.0,3.0,177.0,177.0,65.0,65.0,3.1,3.1,8.4,8.4,1.05,1.05
198380,Harold Mack,WR,160,,,,,,,,,,,,,2025,E MICHIGAN,6.0,6.0,12.6,12.6,7.0,7.0,69.0,69.0,66.7,66.7,6.0,6.0,9.0,9.0,9.1,9.1,2.0,2.0,13.0,13.0,0.0,63.6,63.6,71.3,71.3,69.4,69.4,,,73.0,73.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,167.0,20.0,20.0,91.6,91.6,153.0,153.0,98.8,98.8,165.0,90.8,90.8,29.0,29.0,2.0,2.0,1.2,1.2,2.0,2.0,333.0,333.0,91.0,91.0,4.6,4.6,16.7,16.7,2.18,2.18
198391,Andre Brown,WR,166,,,,,,,,,,,,,2025,FIU,1.0,1.0,-1.0,-1.0,0.0,0.0,100.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,67.1,67.1,61.4,61.4,,,60.8,60.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,100.0,100.0,1.0,91.7,91.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
198403,Kenny Williams,WR,166,,,,,,,,,,,,,2025,FIU,2.0,2.0,15.5,15.5,1.0,1.0,50.0,50.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,61.0,61.0,55.4,55.4,,,55.6,55.6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,1.0,1.0,88.9,88.9,8.0,8.0,44.4,44.4,4.0,60.4,60.4,2.0,2.0,0.0,0.0,55.6,55.6,5.0,5.0,8.0,8.0,12.0,12.0,12.0,12.0,8.0,8.0,1.0,1.0
198409,Tyson Carter,WR,166,,,,,,,,,,,,,2025,FIU,8.0,8.0,15.6,15.6,0.0,0.0,33.3,33.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,73.1,73.1,64.1,64.1,58.9,58.9,,,58.7,58.7,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,41.0,3.0,3.0,95.1,95.1,39.0,39.0,29.3,29.3,12.0,44.7,44.7,9.0,9.0,0.0,0.0,70.7,70.7,29.0,29.0,32.0,32.0,15.0,15.0,5.0,5.0,10.7,10.7,0.82,0.82
198437,Jayvan Boggs,WR,167,,,,,,,,,,,,,2025,FLORIDA ST,8.0,8.0,16.0,16.0,0.0,0.0,60.0,60.0,50.0,50.0,1.0,1.0,2.0,2.0,10.0,10.0,1.0,1.0,7.0,7.0,0.0,62.9,62.9,67.9,67.9,64.2,64.2,,,63.4,63.4,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,93.0,9.0,9.0,97.8,97.8,91.0,91.0,63.4,63.4,59.0,102.9,102.9,15.0,15.0,1.0,1.0,36.6,36.6,34.0,34.0,103.0,103.0,15.0,15.0,1.7,1.7,11.4,11.4,1.13,1.13
198440,Chase Loftin,WR,167,,,,,,,,,,,,,2025,FLORIDA ST,2.0,2.0,13.0,13.0,0.0,0.0,50.0,50.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,61.0,61.0,56.7,56.7,,,56.7,56.7,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,1.0,1.0,100.0,100.0,7.0,7.0,42.9,42.9,3.0,56.3,56.3,2.0,2.0,0.0,0.0,57.1,57.1,4.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,0.86,0.86
198445,Teriq Mallory,WR,167,,,,,,,,,,,,,2025,FLORIDA ST,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,66.7,66.7,61.0,61.0,58.9,58.9,,,61.3,61.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,1.0,1.0,100.0,100.0,12.0,12.0,16.7,16.7,2.0,118.8,118.8,1.0,1.0,0.0,0.0,83.3,83.3,10.0,10.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,1.17,1.17
198455,Jayon Farrar,WR,169,,,,,,,,,,,,,2025,FRESNO ST,9.0,9.0,11.8,11.8,1.0,1.0,66.7,66.7,,,0.0,0.0,0.0,0.0,7.7,7.7,1.0,1.0,10.0,10.0,0.0,67.5,67.5,69.5,69.5,68.7,68.7,,,67.3,67.3,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,99.0,12.0,12.0,97.0,97.0,96.0,96.0,11.1,11.1,11.0,86.3,86.3,18.0,18.0,0.0,0.0,88.9,88.9,88.0,88.0,124.0,124.0,47.0,47.0,3.9,3.9,10.3,10.3,1.29,1.29
