player,draft_year,OVERALL_PICK,ROUND,SELECTION,HEIGHT,WEIGHT,draft_pick_bucket_ordinal,is_round1_pick,is_top10_pick,target_600yd_receiving_within_2yrs,best_receiving_yards_within_window,games_in_best_receiving_season_within_window,first_600yd_receiving_year,college_seasons_played,first_breakout_season_index,early_breakout_flag,final_team_target_share,final_top_teammate_target_share,final_season_with_dominant_teammate,model_prob_600yd_within_2yrs,draft_prior_prob,prob_600yd_within_2yrs,draft_blend_weight,predicted_600yd_within_2yrs
Jacob Cowing,2024.0,135.0,4.0,35.0,,,6.0,0,0,0,80.0,15.0,,5,1.0,1,0.2743764172335601,0.2947845804988662,1,0.44609985371280697,0.173773987206823,0.37801838708631097,0.25,0
Adonai Mitchell,2024.0,52.0,2.0,20.0,,,4.0,0,0,0,453.0,16.0,,3,3.0,0,0.19325842696629214,0.26741573033707866,1,0.3811727630332943,0.3425893786879555,0.3715269169469596,0.25,0
Xavier Legette,2024.0,32.0,1.0,32.0,,,2.0,1,0,0,497.0,16.0,,5,5.0,0,0.2519480519480519,0.11948051948051948,0,0.2862906063574265,0.38326226012793174,0.31053351980005284,0.25,0
Jermaine Burton,2024.0,80.0,3.0,16.0,,,5.0,0,0,0,107.0,14.0,,4,2.0,1,0.1875,0.24671052631578946,1,0.2977255375665853,0.235982250907624,0.282289715901845,0.25,0
Troy Franklin,2024.0,102.0,4.0,2.0,,,6.0,0,0,1,709.0,17.0,2025.0,3,2.0,1,0.2289156626506024,0.21285140562248997,1,0.3125370826533542,0.173773987206823,0.2778463087917214,0.25,0
Roman Wilson,2024.0,84.0,3.0,20.0,,,5.0,0,0,0,166.0,14.0,,4,2.0,1,0.1908831908831909,0.18803418803418803,0,0.16869400808409976,0.235982250907624,0.18551606878998084,0.25,0
Ainias Smith,2024.0,152.0,5.0,17.0,,,7.0,0,0,0,41.0,7.0,,5,2.0,1,0.1989795918367347,0.15051020408163265,0,0.22505197081821868,0.0638953990378685,0.18476282787313114,0.25,0
Jalen McMillan,2024.0,92.0,3.0,28.0,,,5.0,0,0,0,461.0,13.0,,4,3.0,0,0.11775700934579439,0.2616822429906542,1,0.14514854904579905,0.235982250907624,0.16785697451125528,0.25,0
Jamari Thrash,2024.0,156.0,5.0,21.0,,,7.0,0,0,0,107.0,9.0,,5,3.0,0,0.2532981530343008,0.11345646437994723,0,0.1986354608335868,0.0638953990378685,0.16495044538465725,0.25,0
Malik Washington,2024.0,184.0,6.0,8.0,,,7.0,0,0,0,317.0,17.0,,5,4.0,0,0.38333333333333336,0.2777777777777778,1,0.1909556557250654,0.0638953990378685,0.1591905915532662,0.25,0
